m imin imax Ndata Ndup nedges Nj NpixJ nodes part1 part2 part3 ts td tj tb t
x@@ 0 10 97736948 879608503 1.16051e+11 120 86400 16 1440 1440 1440 6 15 0 120 2.40
x@@ 0 10 97736948 879608503 1.16051e+11 120 86400 16 1440 1440 1440 6 15 0 116 2.34
x@@ 0 10 97736948 879608503 1.16051e+11 120 86400 16 1440 1440 1440 7 17 0 132 2.65
x@@ 0 10 97736948 879608503 1.16051e+11 120 86400 16 1440 1440 1440 6 14 0 121 2.39
x@@ 0 10 97736948 879608503 1.16051e+11 120 86400 16 1440 1440 1440 7 16 0 136 2.70
x@@ 0 10 97736948 879608503 1.16051e+11 120 86400 32 2976 2976 2976 6 11 0 83 1.71
x@@ 0 10 97736948 879608503 1.16051e+11 120 86400 32 2976 2976 2976 6 10 0 78 1.60
x@@ 0 10 97736948 879608503 1.16051e+11 120 86400 32 2976 2976 2976 7 9 0 85 1.71
x@@ 0 10 97736948 879608503 1.16051e+11 120 86400 32 2976 2976 2976 7 9 0 97 1.93
x@@ 0 10 97736948 879608503 1.16051e+11 120 86400 32 2976 2976 2976 6 10 0 73 1.52
x@@ 0 10 97736948 879608503 1.16051e+11 120 86400 8 672 672 672 8 64 0 193 4.46
x@@ 0 10 97736948 879608503 1.16051e+11 120 86400 8 672 672 672 9 27 0 201 4.00
x@@ 0 10 97736948 879608503 1.16051e+11 120 86400 8 672 672 672 8 48 0 190 4.14
x@@ 0 10 97736948 879608503 1.16051e+11 120 86400 8 672 672 672 8 33 0 158 3.36
x@@ 0 10 97736948 879608503 1.16051e+11 120 86400 8 672 672 672 24 17 0 165 3.46
