m imin imax Ndata Ndup nedges Nj NpixJ nodes part1 part2 part3 ts td tj tb t
x 0 1 1006525907 9058729133 1.04613e+11 966 5598936 16 1440 1440 1440 40 429 0 215 11.93
x 0 1 1006525907 9058729133 1.04613e+11 966 5598936 16 1440 1440 1440 57 464 0 191 12.39
x 0 1 1006525907 9058729133 1.04613e+11 966 5598936 16 1440 1440 1440 57 400 1 214 11.79
x 0 1 1006525907 9058729133 1.04613e+11 966 5598936 16 1440 1440 1440 47 440 0 185 11.83
x 0 1 1006525907 9058729133 1.04613e+11 966 5598936 16 1440 1440 1440 47 464 0 196 12.37
x 0 1 1006525907 9058729133 1.04613e+11 966 5598936 32 2976 2976 2976 48 367 0 107 9.35
x 0 1 1006525907 9058729133 1.04613e+11 966 5598936 32 2976 2976 2976 50 310 0 111 8.36
x 0 1 1006525907 9058729133 1.04613e+11 966 5598936 32 2976 2976 2976 53 225 0 156 7.94
x 0 1 1006525907 9058729133 1.04613e+11 966 5598936 32 2976 2976 2976 62 341 0 230 11.04
x 0 1 1006525907 9058729133 1.04613e+11 966 5598936 32 2976 2976 2976 50 319 0 136 8.94
x 0 1 1006525907 9058729133 1.04613e+11 966 5598936 64 6048 6048 6048 50 240 0 47 6.14
x 0 1 1006525907 9058729133 1.04613e+11 966 5598936 64 6048 6048 6048 48 216 0 61 5.83
x 0 1 1006525907 9058729133 1.04613e+11 966 5598936 64 6048 6048 6048 44 211 0 71 5.95
x 0 1 1006525907 9058729133 1.04613e+11 966 5598936 64 6048 6048 6048 50 205 1 65 5.82
x 0 1 1006525907 9058729133 1.04613e+11 966 5598936 64 6048 6048 6048 46 147 0 89 5.20
