td	tu	w	Nd	NpixD(M)	Nj	NpixJ(k)
2.5	3.1	0.6	13696	1125.482496	1720	17750.4
3.1	4.0	0.8	10880	710.2464	1366	11195.736
4.0	5.0	1.0	8642	448.104984	1086	7076.376
5.0	6.3	1.3	6864	282.686976	862	4458.264
6.3	7.9	1.6	5454	178.476696	684	2807.136
7.9	10.0	2.0	4332	112.597344	544	1775.616
10.0	12.5	2.6	3442	71.084184	432	1119.744
12.5	15.8	3.2	2734	44.848536	342	701.784
15.8	19.9	4.1	2172	28.305504	272	443.904
19.9	25.0	5.1	1726	17.874456	216	279.936
25.0	31.5	6.5	1370	11.2614	172	177.504
31.5	39.6	8.1	1088	7.102464	136	110.976
39.6	49.9	10.3	866	4.499736	108	69.984
49.9	62.8	12.9	688	2.840064	86	44.376
62.8	79.1	16.3	546	1.788696	68	27.744
79.1	99.5	20.5	434	1.130136	54	17.496
99.5	125.3	25.8	346	0.718296	42	10.584
125.3	157.7	32.4	274	0.450456	34	6.936
157.7	198.6	40.8	218	0.285144	26	4.056
198.6	250.0	51.4	174	0.181656	20	2.4
