id	td	tu	w	nbaseD	NpixD(M)	nbaseJ	NpixJ(k)
0	2.5	3.1	0.6	11958	857.962584	1296	10077.696000
1	3.1	4.0	0.8	9498	541.272024	1028	6340.704000
2	4.0	5.0	1.0	7544	341.471616	816	3995.136000
3	5.0	6.3	1.3	5994	215.568216	648	2519.424000
4	6.3	7.9	1.6	4760	135.945600	516	1597.536000
5	7.9	10.0	2.0	3782	85.821144	408	998.784000
6	10.0	12.5	2.6	3004	54.144096	324	629.856000
7	12.5	15.8	3.2	2386	34.157976	258	399.384000
8	15.8	19.9	4.1	1896	21.568896	204	249.696000
9	19.9	25.0	5.1	1506	13.608216	162	157.464000
10	25.0	31.5	6.5	1196	8.582496	128	98.304000
11	31.5	39.6	8.1	950	5.415000	102	62.424000
12	39.6	49.9	10.3	756	3.429216	80	38.400000
13	49.9	62.8	12.9	600	2.160000	64	24.576000
14	62.8	79.1	16.3	476	1.359456	50	15.000000
15	79.1	99.5	20.5	380	0.866400	40	9.600000
16	99.5	125.3	25.8	302	0.547224	32	6.144000
17	125.3	157.7	32.4	240	0.345600	24	3.456000
18	157.7	198.6	40.8	190	0.216600	20	2.400000
19	198.6	250.0	51.4	152	0.138624	16	1.536000
